idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;06;Информационе и комуникационе технологије (ИКТ);2
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;07;Инжењерство, производња и грађевинарство;25
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;09;Здравство и социјална помоћ;101
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2019;10;Услуге;11
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;0;Укупно;134
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;01;Образовање;3
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;02;Уметности и хуманистичке науке;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;03;Друштвене науке, новинарство и информисање;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;04;Пословање, администрација и право;26
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;05;Природне науке, математика и статистика;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;06;Информационе и комуникационе технологије (ИКТ);2
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;07;Инжењерство, производња и грађевинарство;5
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;09;Здравство и социјална помоћ;95
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2019;10;Услуге;3
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;0;Укупно;167
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;00;Генерички програми и квалификације;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;01;Образовање;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;02;Уметности и хуманистичке науке;3
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;03;Друштвене науке, новинарство и информисање;37
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;04;Пословање, администрација и право;75
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;05;Природне науке, математика и статистика;18
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;06;Информационе и комуникационе технологије (ИКТ);0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;07;Инжењерство, производња и грађевинарство;20
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;09;Здравство и социјална помоћ;6
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2019;10;Услуге;8
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;0;Укупно;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;00;Генерички програми и квалификације;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;01;Образовање;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;02;Уметности и хуманистичке науке;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;03;Друштвене науке, новинарство и информисање;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;04;Пословање, администрација и право;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;05;Природне науке, математика и статистика;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;06;Информационе и комуникационе технологије (ИКТ);
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;07;Инжењерство, производња и грађевинарство;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;08;Пољопривреда, шумарство, рибарство и ветерина;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;09;Здравство и социјална помоћ;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2019;10;Услуге;
